X1,X6,X7,X8,X9,X10,X11,X18,X19,Y
20000,2,2,-1,-1,-2,-2,0,689,1
120000,-1,2,0,0,0,2,0,1000,1
90000,0,0,0,0,0,0,1518,1500,0
50000,0,0,0,0,0,0,2000,2019,0
50000,-1,0,-1,0,0,0,2000,36681,0
50000,0,0,0,0,0,0,2500,1815,0
500000,0,0,0,0,0,0,55000,40000,0
100000,0,-1,-1,0,0,-1,380,601,0
140000,0,0,2,0,0,0,3329,0,0
20000,-2,-2,-2,-2,-1,-1,0,0,0
200000,0,0,2,0,0,-1,2306,12,0
260000,-1,-1,-1,-1,-1,2,21818,9966,0
630000,-1,0,-1,-1,-1,-1,1000,6500,0
70000,1,2,2,0,0,2,3200,0,1
250000,0,0,0,0,0,0,3000,3000,0
50000,1,2,0,0,0,0,0,1500,0
20000,0,0,2,2,2,2,3200,0,1
320000,0,0,0,-1,-1,-1,10358,10000,0
360000,1,-2,-2,-2,-2,-2,0,0,0
180000,1,-2,-2,-2,-2,-2,0,0,0
130000,0,0,0,0,0,-1,3000,1537,0
120000,-1,-1,-1,-1,-1,-1,316,316,1
70000,2,0,0,2,2,2,2007,3582,1
450000,-2,-2,-2,-2,-2,-2,19428,1473,1
90000,0,0,0,-1,0,0,5757,0,0
50000,0,0,0,0,0,0,1973,1426,0
60000,1,-2,-1,-1,-1,-1,0,1000,1
50000,0,0,0,0,0,0,1300,1300,0
50000,-1,-1,-1,-1,-1,-1,3415,3421,0
50000,0,0,0,0,0,0,1500,1500,0
230000,-1,-1,-1,-1,-1,-1,17270,13281,0
50000,2,0,0,0,0,0,1718,1500,1
100000,0,0,0,0,0,0,3023,3511,0
500000,-2,-2,-2,-2,-2,-2,4152,22827,0
500000,-2,-2,-2,-2,-2,-2,5006,31178,0
160000,-1,-1,-2,-2,-2,-1,131,396,0
280000,0,0,0,0,0,0,8026,8060,0
60000,0,0,0,0,0,-1,1500,1518,0
50000,1,-1,-1,-2,-2,-2,780,0,1
280000,-1,-1,2,-1,0,-1,9075,0,0
360000,0,0,0,0,0,0,10000,7000,0
70000,0,0,0,0,0,0,3000,4500,0
10000,0,0,0,0,0,0,1500,2927,0
140000,0,0,0,0,0,0,3000,3000,0
40000,0,0,0,2,0,0,3000,5000,0
210000,-2,-2,-2,-2,-2,-2,0,0,1
20000,0,0,2,-1,0,0,3000,0,1
150000,0,0,-1,0,0,-2,1013,1170,1
380000,-1,-1,-1,-1,-1,-1,21540,15138,0
20000,0,0,0,0,0,0,1318,1315,0
